audio_id,ori_seg_Coherence_mean,ori_seg_Coherence_std,user_seg_Coherence_mean,user_seg_Coherence_std,ori_full_Coherence,user_full_Coherence,ori_seg_Musicality_mean,ori_seg_Musicality_std,user_seg_Musicality_mean,user_seg_Musicality_std,ori_full_Musicality,user_full_Musicality,ori_seg_Memorability_mean,ori_seg_Memorability_std,user_seg_Memorability_mean,user_seg_Memorability_std,ori_full_Memorability,user_full_Memorability,ori_seg_Clarity_mean,ori_seg_Clarity_std,user_seg_Clarity_mean,user_seg_Clarity_std,ori_full_Clarity,user_full_Clarity,ori_seg_Naturalness_mean,ori_seg_Naturalness_std,user_seg_Naturalness_mean,user_seg_Naturalness_std,ori_full_Naturalness,user_full_Naturalness
347878109,2.377,0.2047,2.9591,0.2097,1.9782,3.2541,2.5366,0.2171,3.0348,0.2398,2.1099,3.0954,2.3711,0.2246,2.9329,0.2396,1.8861,3.08,2.3471,0.2159,2.9727,0.2077,1.8706,3.167,2.3842,0.1973,2.9298,0.1992,1.8978,3.2293
341026206,2.2907,0.2298,2.753,0.263,1.8344,3.0424,2.497,0.2133,2.9653,0.2616,1.9481,2.9917,2.3163,0.2277,2.8535,0.2583,1.7034,2.8699,2.3131,0.2085,2.8392,0.2336,1.7095,3.0485,2.3498,0.2011,2.7927,0.2123,1.8834,2.9979
344232161,2.3949,0.2478,2.9765,0.2657,1.821,2.8317,2.5342,0.2451,3.081,0.2514,1.9259,2.7011,2.3607,0.2578,2.9995,0.2626,1.69,2.5784,2.3917,0.234,2.9739,0.2457,1.7011,2.6144,2.4251,0.2384,2.8718,0.2391,1.7811,2.5577
344569964,2.6256,0.2562,3.269,0.3864,2.1801,3.1615,2.7975,0.2455,3.3124,0.3943,2.3471,2.7774,2.6378,0.2576,3.3042,0.4056,2.1726,2.9839,2.612,0.2563,3.2721,0.3817,2.0839,3.0151,2.6446,0.2154,3.1633,0.3117,2.2536,2.8764
343925615,2.5842,0.233,3.0085,0.2712,2.0275,3.1731,2.7865,0.2719,3.1286,0.2718,2.0846,2.9551,2.5868,0.2794,3.1204,0.281,1.7993,3.0322,2.5643,0.2669,3.1046,0.2545,1.8868,3.0764,2.5995,0.2407,3.0917,0.2432,2.0745,3.05
343808686,2.928,0.3376,2.9791,0.2556,2.539,2.6213,3.1097,0.3626,3.1262,0.244,2.7242,2.5336,2.9782,0.3581,3.0359,0.2944,2.5814,2.4531,2.9033,0.3706,2.9755,0.2446,2.5595,2.4268,2.8855,0.3227,2.9652,0.2397,2.6851,2.4839
345045171,2.377,0.2047,2.9321,0.1925,1.9782,3.064,2.5366,0.2171,3.0072,0.2324,2.1099,3.0056,2.3711,0.2246,2.8384,0.2045,1.8861,2.8341,2.3471,0.2159,2.9453,0.222,1.8706,2.9588,2.3842,0.1973,2.9103,0.2248,1.8978,2.9827
363562473,2.5842,0.233,3.3948,0.3333,2.0275,3.3948,2.7865,0.2719,3.5949,0.3192,2.0846,3.1539,2.5868,0.2794,3.4888,0.3501,1.7993,3.1224,2.5643,0.2669,3.4321,0.3044,1.8868,3.132,2.5995,0.2407,3.3904,0.3138,2.0745,3.1267
356040430,2.3949,0.2478,3.0016,0.3055,1.821,2.8692,2.5342,0.2451,3.0841,0.266,1.9259,2.7067,2.3607,0.2578,3.0054,0.3319,1.69,2.6257,2.3917,0.234,2.9787,0.2923,1.7011,2.6325,2.4251,0.2384,2.8636,0.2829,1.7811,2.5847
342888043,2.928,0.3376,2.9184,0.3407,2.539,2.6754,3.1097,0.3626,3.0349,0.3592,2.7242,2.5434,2.9782,0.3581,2.9787,0.3544,2.5814,2.4224,2.9033,0.3706,2.9772,0.3555,2.5595,2.5037,2.8855,0.3227,2.8974,0.3548,2.6851,2.4235
353900077,2.3949,0.2478,2.8615,0.2857,1.821,2.1212,2.5342,0.2451,2.9895,0.2873,1.9259,2.1688,2.3607,0.2578,2.8595,0.328,1.69,1.978,2.3917,0.234,2.8047,0.2876,1.7011,1.9225,2.4251,0.2384,2.7634,0.2508,1.7811,2.0571
344320262,2.2907,0.2298,2.5945,0.2209,1.8344,2.5841,2.497,0.2133,2.736,0.2087,1.9481,2.447,2.3163,0.2277,2.6547,0.2268,1.7034,2.2799,2.3131,0.2085,2.667,0.2266,1.7095,2.536,2.3498,0.2011,2.604,0.2098,1.8834,2.4554
340376861,2.7604,0.3086,3.2271,0.303,2.3807,3.0284,2.904,0.2958,3.3298,0.3094,2.4489,2.9287,2.7848,0.3188,3.2824,0.3005,2.2025,2.954,2.7314,0.3069,3.2539,0.3117,2.2404,3.0105,2.723,0.2903,3.2378,0.2965,2.3006,3.069
341938424,2.4787,0.2273,2.8256,0.3487,1.9887,2.4098,2.7001,0.2115,2.9763,0.3021,2.0739,2.2212,2.4938,0.2296,2.8222,0.3335,1.7756,2.0536,2.5358,0.2279,2.9132,0.3169,1.9429,2.338,2.5226,0.2035,2.8226,0.3251,1.9872,2.173
356795858,2.4787,0.2273,2.7807,0.3396,1.9887,2.8489,2.7001,0.2115,2.9753,0.3075,2.0739,2.5442,2.4938,0.2296,2.8612,0.3491,1.7756,2.5557,2.5358,0.2279,2.9357,0.3131,1.9429,2.7608,2.5226,0.2035,2.8184,0.3006,1.9872,2.6911
344782342,2.5105,0.2272,2.9018,0.2789,1.9958,2.8969,2.6489,0.2396,3.0997,0.3034,1.9663,2.8459,2.4883,0.2519,2.9833,0.2926,1.8331,2.7449,2.4845,0.2379,3.0987,0.2763,1.8513,2.9436,2.4687,0.2016,2.921,0.2828,1.8501,2.7437
348082769,2.3949,0.2478,3.159,0.289,1.821,2.9665,2.5342,0.2451,3.2942,0.2616,1.9259,2.8865,2.3607,0.2578,3.1857,0.2818,1.69,2.7136,2.3917,0.234,3.1162,0.2538,1.7011,2.7449,2.4251,0.2384,3.0436,0.2405,1.7811,2.6364
356177231,2.6256,0.2562,3.3876,0.2507,2.1801,3.3108,2.7975,0.2455,3.4762,0.2163,2.3471,3.1429,2.6378,0.2576,3.3729,0.2703,2.1726,3.0581,2.612,0.2563,3.4576,0.2588,2.0839,3.2379,2.6446,0.2154,3.3363,0.2286,2.2536,3.0465
347271090,2.5086,0.2234,3.2241,0.3022,2.1545,3.2117,2.6897,0.2082,3.3721,0.2505,2.1569,3.1046,2.4742,0.2267,3.2456,0.3077,1.9797,2.9279,2.5076,0.221,3.2663,0.2359,1.9746,3.0768,2.571,0.1889,3.1486,0.267,2.0744,2.9462
349253711,2.4498,0.3186,3.0181,0.3447,2.1087,2.9415,2.6223,0.3415,3.1519,0.2862,2.0783,2.8733,2.4783,0.3284,3.0833,0.2959,1.9298,2.743,2.4146,0.3072,3.0078,0.2851,1.9468,2.8549,2.4116,0.3047,2.9148,0.322,2.0346,2.8851
348224758,2.5105,0.2272,2.4927,0.2503,1.9958,2.4487,2.6489,0.2396,2.626,0.272,1.9663,2.3074,2.4883,0.2519,2.6227,0.2737,1.8331,2.3051,2.4845,0.2379,2.6466,0.2261,1.8513,2.4337,2.4687,0.2016,2.487,0.2206,1.8501,2.2159
340783890,2.2907,0.2298,2.9308,0.2769,1.8344,2.8735,2.497,0.2133,3.0747,0.2554,1.9481,2.8235,2.3163,0.2277,2.996,0.2603,1.7034,2.7172,2.3131,0.2085,2.9664,0.2279,1.7095,2.857,2.3498,0.2011,2.9166,0.2167,1.8834,2.8291
346019199,2.3949,0.2478,3.0171,0.2666,1.821,3.1521,2.5342,0.2451,3.1728,0.2944,1.9259,3.0051,2.3607,0.2578,3.0139,0.2555,1.69,2.909,2.3917,0.234,3.0553,0.2136,1.7011,3.0839,2.4251,0.2384,2.9432,0.2377,1.7811,2.9126
342325512,2.2907,0.2298,2.5149,0.2425,1.8344,2.4186,2.497,0.2133,2.6865,0.2424,1.9481,2.3762,2.3163,0.2277,2.5546,0.2486,1.7034,2.2359,2.3131,0.2085,2.6781,0.2346,1.7095,2.5958,2.3498,0.2011,2.6176,0.2171,1.8834,2.4519
347396613,2.4498,0.3186,2.8799,0.3568,2.1087,2.9547,2.6223,0.3415,3.0542,0.3312,2.0783,2.9154,2.4783,0.3284,2.8839,0.3454,1.9298,2.6319,2.4146,0.3072,2.8323,0.3286,1.9468,2.7767,2.4116,0.3047,2.7558,0.3527,2.0346,2.7271
342417228,2.3949,0.2478,3.1333,0.313,1.821,3.2459,2.5342,0.2451,3.2277,0.2773,1.9259,3.0989,2.3607,0.2578,3.0699,0.294,1.69,2.8103,2.3917,0.234,3.0846,0.2769,1.7011,3.0694,2.4251,0.2384,2.9706,0.2402,1.7811,2.9226
355480396,2.5086,0.2234,2.787,0.2151,2.1545,2.3029,2.6897,0.2082,2.9484,0.2129,2.1569,2.3002,2.4742,0.2267,2.8264,0.2272,1.9797,2.0872,2.5076,0.221,2.8371,0.2042,1.9746,2.1946,2.571,0.1889,2.7842,0.2083,2.0744,2.2874
357888038,2.4649,0.3283,2.7356,0.3534,2.3224,2.7817,2.6253,0.2743,2.8251,0.3091,2.2407,2.5057,2.4665,0.2793,2.7972,0.3285,2.1274,2.4475,2.4592,0.266,2.8249,0.3141,2.1248,2.5497,2.474,0.2881,2.6661,0.3279,2.3328,2.3779
351955350,2.5086,0.2234,3.0989,0.2895,2.1545,3.1356,2.6897,0.2082,3.217,0.2433,2.1569,2.9627,2.4742,0.2267,3.1557,0.274,1.9797,2.8169,2.5076,0.221,3.1613,0.2517,1.9746,2.8957,2.571,0.1889,3.0796,0.2726,2.0744,2.958
352362872,2.5105,0.2272,2.8078,0.2303,1.9958,2.472,2.6489,0.2396,2.9629,0.261,1.9663,2.3051,2.4883,0.2519,2.8497,0.2383,1.8331,2.2862,2.4845,0.2379,2.8487,0.2374,1.8513,2.3984,2.4687,0.2016,2.7539,0.2332,1.8501,2.2356
345055893,2.4787,0.2273,3.0162,0.3969,1.9887,2.7788,2.7001,0.2115,3.261,0.3857,2.0739,2.8769,2.4938,0.2296,3.1128,0.3895,1.7756,2.6629,2.5358,0.2279,3.1234,0.3517,1.9429,2.8016,2.5226,0.2035,2.9958,0.3649,1.9872,2.639
350327078,2.4498,0.3186,2.9445,0.4129,2.1087,2.9326,2.6223,0.3415,3.1926,0.3312,2.0783,2.9694,2.4783,0.3284,2.9384,0.3785,1.9298,2.6789,2.4146,0.3072,2.9319,0.3338,1.9468,2.6929,2.4116,0.3047,2.8334,0.3715,2.0346,2.6808
351568300,2.5105,0.2272,2.7406,0.2921,1.9958,2.2858,2.6489,0.2396,2.9313,0.3247,1.9663,2.3871,2.4883,0.2519,2.799,0.3235,1.8331,2.2088,2.4845,0.2379,2.8032,0.2479,1.8513,2.2638,2.4687,0.2016,2.6824,0.2811,1.8501,2.1112
356894630,2.5842,0.233,3.0998,0.2876,2.0275,3.0434,2.7865,0.2719,3.2721,0.3026,2.0846,2.8609,2.5868,0.2794,3.263,0.3218,1.7993,2.9494,2.5643,0.2669,3.2095,0.2889,1.8868,2.9956,2.5995,0.2407,3.1359,0.2785,2.0745,2.9449
347593176,2.2907,0.2298,2.6359,0.2612,1.8344,2.5696,2.497,0.2133,2.788,0.262,1.9481,2.4518,2.3163,0.2277,2.7063,0.2689,1.7034,2.2863,2.3131,0.2085,2.7231,0.2462,1.7095,2.4981,2.3498,0.2011,2.698,0.2373,1.8834,2.3787
344459556,2.377,0.2047,3.1831,0.2325,1.9782,3.6306,2.5366,0.2171,3.2851,0.2568,2.1099,3.5231,2.3711,0.2246,3.1961,0.26,1.8861,3.4653,2.3471,0.2159,3.2054,0.2184,1.8706,3.5554,2.3842,0.1973,3.2112,0.2273,1.8978,3.5538
346302776,2.5842,0.233,2.8565,0.2919,2.0275,2.9795,2.7865,0.2719,2.9566,0.3213,2.0846,2.8257,2.5868,0.2794,2.9354,0.3191,1.7993,2.7769,2.5643,0.2669,2.8729,0.288,1.8868,2.8164,2.5995,0.2407,2.8005,0.282,2.0745,2.7551
352567018,2.5842,0.233,2.8667,0.2724,2.0275,2.6548,2.7865,0.2719,2.9954,0.3128,2.0846,2.4897,2.5868,0.2794,2.8894,0.3148,1.7993,2.3891,2.5643,0.2669,2.975,0.2863,1.8868,2.682,2.5995,0.2407,2.8807,0.2618,2.0745,2.5307
348060907,2.5086,0.2234,2.9973,0.236,2.1545,2.5435,2.6897,0.2082,3.1448,0.2441,2.1569,2.3663,2.4742,0.2267,3.1253,0.25,1.9797,2.3113,2.5076,0.221,3.0858,0.2055,1.9746,2.3277,2.571,0.1889,3.0216,0.2199,2.0744,2.4015
340682801,2.4649,0.3283,2.9004,0.3868,2.3224,2.6376,2.6253,0.2743,3.0813,0.3142,2.2407,2.6373,2.4665,0.2793,2.9372,0.3601,2.1274,2.4584,2.4592,0.266,2.9311,0.312,2.1248,2.5044,2.474,0.2881,2.8635,0.3767,2.3328,2.5846
